label,text,length,clean_text
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,ahhh work vaguely remember feel like lol
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,wait still clear sure sarcastic want live us
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,yeah got apologetic fallen actin like spoilt child got caught till go badly cheers
0,K tell me anything about you.,29,tell anything
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,fear fainting housework quick cuppa
1,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
0,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,122,yup ok go home look timings msg xuhui going learn nd may lesson
0,"Oops, I'll let you know when my roommate's done",47,oops let know roommate done
0,I see the letter B on my car,28,see letter car
0,Anything lor... U decide...,27,anything lor decide
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,hello saturday go texting see decided anything tomo trying invite anything
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,pls go ahead watts wanted sure great weekend abiola
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,forget tell want need crave love sweet arabian steed mmmmmm yummy
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
0,WHO ARE YOU SEEING?,19,seeing
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,great hope like man well endowed lt gt inches
0,No calls..messages..missed calls,32,calls messages missed calls
0,Didn't you get hep b immunisation in nigeria.,45,get hep immunisation nigeria
0,"Fair enough, anything going on?",31,fair enough anything going
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,yeah hopefully tyler could maybe ask around bit
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers
0,What you thinked about me. First time you saw me in class.,58,thinked first time saw class
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,fyi ride early tomorrow morning crashing place tonight
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",289,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,know mallika sherawat yesterday find lt url gt
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,congrats year special cinema pass call suprman matrix starwars etc free bx ip pm dont miss
0,"Sorry, I'll call later in meeting.",34,sorry call later meeting
0,Tell where you reached,22,tell reached
0,Yes..gauti and sehwag out of odi series.,40,yes gauti sehwag odi series
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,gon na pick burger way home even move pain killing
0,Ha ha ha good joke. Girls are situation seekers.,48,ha ha ha good joke girls situation seekers
0,Its a part of checking IQ,25,part checking iq
0,"Sorry my roommates took forever, it ok if I come by now?",56,sorry roommates took forever ok come
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,ok lar double check wif da hair dresser already said wun cut short said cut look nice
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,valued customer pleased advise following recent review mob awarded bonus prize call
0,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",122,today song dedicated day song dedicate send ur valuable frnds first rply
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj
1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",78,hear new divorce barbie comes ken stuff
0,I plane to give on this month end.,34,plane give month end
0,Wah lucky man... Then can save money... Hee...,46,wah lucky man save money hee
0,Finished class where are you.,29,finished class
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,hi babe im home wan na something xx
0,K..k:)where are you?how did you performed?,42,performed
0,U can call me now...,20,call
0,I am waiting machan. Call me once you free.,43,waiting machan call free
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,thats cool gentleman treat dignity respect
0,I like you peoples very much:) but am very shy pa.,50,like peoples much shy pa
0,Does not operate after  &lt;#&gt;  or what,42,operate lt gt
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,still looking job much ta earn
0,"Sorry, I'll call later",22,sorry call later
0,K. Did you call me just now ah? ,32,call ah
0,Ok i am on the way to home hi hi,32,ok way home hi hi
0,You will be in the place of that man,36,place man
0,Yup next stop.,14,yup next stop
0,"I call you later, don't have network. If urgnt, sms me.",55,call later network urgnt sms
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,real getting yo need tickets one jacket done already used multis
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,yes started send requests make pain came back back bed double coins factory got ta cash nitros
0,I'm really not up to it still tonight babe,42,really still tonight babe
0,"Ela kano.,il download, come wen ur free..",41,ela kano il download come wen ur free
0,Yeah do! Don‘t stand to close tho- you‘ll catch something!,58,yeah stand close tho catch something
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,sorry pain ok meet another night spent late afternoon casualty means done stuff moro includes time sheets sorry
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,smile pleasure smile pain smile trouble pours like rain smile sum hurts smile becoz someone still loves see smiling
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,please call customer service representative pm guaranteed cash prize
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,havent planning buy later check already lido got show afternoon finish work already
1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk ppw
0,Watching telugu movie..wat abt u?,33,watching telugu movie wat abt
0,i see. When we finish we have loads of loans to pay,51,see finish loads loans pay
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",178,hi wk ok hols yes bit run forgot hairdressers appointment four need get home shower beforehand cause prob
0,I see a cup of coffee animation,31,see cup coffee animation
0,Please don't text me anymore. I have nothing else to say.,57,please text anymore nothing else say
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,okay name ur price long legal wen pick ave ams xx
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,still looking car buy gone driving test yet
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
0,Umma my life and vava umma love you lot dear,44,umma life vava umma love lot dear
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,thanks lot wishes birthday thanks making birthday truly memorable
0,"Aight, I'll hit you up when I get some cash",43,aight hit get cash
0,How would my ip address test that considering my computer isn't a minecraft server,82,would ip address test considering computer minecraft server
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,know grumpy old people mom like better lying always one play jokes
0,Dont worry. I guess he's busy.,30,dont worry guess busy
0,What is the plural of the noun research?,40,plural noun research
0,Going for dinner.msg you after.,31,going dinner msg
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,ok wif cos like try new things scared dun like mah cos said loud
1,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,158,gent trying contact last weekends draw shows prize guaranteed call claim code valid hrs ppm
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,wa ur openin sentence formal anyway fine juz tt eatin much puttin weight haha anythin special happened
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,entered cabin pa said happy day boss felt special askd lunch lunch invited apartment went
1,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,152,winner specially selected receive holiday flights inc speak live operator claim min
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,goodo yes must speak friday egg potato ratio tortilla needed
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,hmm uncle informed paying school directly pls buy food
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,private account statement shows unredeemed bonus points claim call identifier code expires
1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",156,urgent mobile awarded bonus caller prize final try contact call landline box wr ppm
0,here is my new address -apples&pairs&all that malarky,53,new address apples pairs malarky
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
0,I am going to sao mu today. Will be done only at 12 ,52,going sao mu today done
0,Ü predict wat time ü'll finish buying?,38,predict wat time finish buying
0,"Good stuff, will do.",20,good stuff
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
0,Are you there in room.,22,room
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,hey girl hope well del bak long time give call sum time lucyxx
0,K..k:)how much does it cost?,28,much cost
0,I'm home.,9,home
0,"Dear, will call Tmorrow.pls accomodate.",39,dear call tmorrow pls accomodate
0,First answer my question.,25,first answer question
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,125,sunshine quiz wkly win top sony dvd player know country algarve txt ansr sp tyrone
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network bt txting gravel nt ec msg
0,I only haf msn. It's yijue@hotmail.com,38,haf msn yijue hotmail com
0,He is there. You call and meet him,34,call meet
0,No no. I will check all rooms befor activities,46,check rooms befor activities
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,rcv msgs chat svc free hardcore services text go get nothing must age verify yr network try
0,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,85,got lazy type forgot lect saw pouch like nice
0,"K, text me when you're on the way",33,text way
0,"Sir, Waiting for your mail.",27,sir waiting mail
0,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",156,swt thought nver get tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni
0,I know you are. Can you pls open the back?,42,know pls open back
0,Yes see ya not on the dot,25,yes see ya dot
0,Whats the staff name who is taking class for us?,48,whats staff name taking class us
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,freemsg replied text randy sexy female live local luv hear netcollex ltd per msg reply stop end
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,ummma call check life begin qatar pls pray hard
0,K..i deleted my contact that why?,33,deleted contact
0,Sindu got job in birla soft ..,30,sindu got job birla soft
0,The wine is flowing and i'm i have nevering..,45,wine flowing nevering
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,yup thk cine better cos need go plaza mah
0,Ok... Ur typical reply...,25,ok ur typical reply
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one
0,Aaooooright are you at work?,28,aaooooright work
0,I'm leaving my house now...,27,leaving house
0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,hello love get interview today happy good boy think missing
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,customer service annoncement new years delivery waiting please call arrange delivery
1,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,145,winner specially selected receive cash holiday flights inc speak live operator claim
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,keep safe need miss already envy everyone see real life
0,New car and house for my parents.:)i have only new job in hand:),64,new car house parents new job hand
0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,love excited day spend make happy
1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,pls stop bootydelious inviting friend reply yes see www sms ac bootydelious stop send stop frnd
1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,bangbabes ur order way receive service msg download ur content goto wap bangb tv ur mobile internet service menu
0,I place all ur points on e cultures module already.,51,place ur points cultures module already
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,156,urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,hi frnd best way avoid missunderstding wit beloved one
0,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,great escape fancy bridge needs lager see tomo
0,Yes :)it completely in out of form:)clark also utter waste.,59,yes completely form clark also utter waste
0,"Sir, I need AXIS BANK account no and bank address.",50,sir need axis bank account bank address
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,hmmm thk sure got time hop ard ya go free abt muz call discuss liao
0,What time you coming down later? ,33,time coming later
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,bloody hell cant believe forgot surname mr ill give clue spanish begins
0,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,well gon na finish bath good fine night
0,Let me know when you've got the money so carlos can make the call,65,let know got money carlos make call
0,U still going to the mall?,26,still going mall
0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,turns friends staying whole show back til lt gt feel free go ahead smoke lt gt worth
0,Text her. If she doesnt reply let me know so i can have her log in,66,text doesnt reply let know log
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,hi spoke maneesha like know satisfied experience reply toll free yes
0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend
0,Lol no. U can trust me.,23,lol trust
0,ok. I am a gentleman and will treat you with dignity and respect.,65,ok gentleman treat dignity respect
0,"He will, you guys close?",24,guys close
0,Going on nothing great.bye,26,going nothing great bye
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,hello handsome finding job lazy working towards getting back net mummy boytoy miss
0,"Haha awesome, be there in a minute",34,haha awesome minute
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,147,please call customer service representative freephone pm guaranteed cash prize
0,Have you got Xmas radio times. If not i will get it now,55,got xmas radio times get
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,jus reached home go bathe first sis using net tell finishes
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,unique enough find th august www areyouunique co uk
0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week
0,Hi :)finally i completed the course:),37,hi finally completed course
0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,stop however suggest stays someone able give ors every stool
0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,hope settled new school year wishin gr day
0,Gud mrng dear hav a nice day,28,gud mrng dear hav nice day
0,Did u got that persons story,28,got persons story
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,64,hamster dead hey tmr meet pm orchard mrt
0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,131,hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx
0,"Found it, ENC  &lt;#&gt; , where you at?",40,found enc lt gt
0,I sent you  &lt;#&gt;  bucks,28,sent lt gt bucks
0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84,hello darlin ive finished college txt finish love kate xxx
0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
0,Goodmorning sleeping ga.,24,goodmorning sleeping ga
0,U call me alter at 11 ok.,25,call alter ok
0,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,63,say like dat dun buy ericsson oso oredi lar
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,entered cabin pa said happy day boss felt special askd lunch lunch invited apartment went
0,"Aight yo, dats straight dogg",28,aight yo dats straight dogg
0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,86,please give us connection today lt decimal gt refund bill
0,Both :) i shoot big loads so get ready!,39,shoot big loads get ready
0,"What's up bruv, hope you had a great break. Do have a rewarding semester.",73,bruv hope great break rewarding semester
0,Home so we can always chat,26,home always chat
0,K:)k:)good:)study well.,23,good study well
0,Yup... How ü noe leh...,23,yup noe leh
0,Sounds great! Are you home now?,31,sounds great home
0,Finally the match heading towards draw as your prediction.,58,finally match heading towards draw prediction
0,Tired. I haven't slept well the past few nights.,48,tired slept well past nights
0,Easy ah?sen got selected means its good..,41,easy ah sen got selected means good
0,I have to take exam with march 3,32,take exam march
0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,159,yeah think use gt atm register sure anyway help let know sure ready
0,Ok no prob. Take ur time.,25,ok prob take ur time
0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,161,os called ubandu run without installing hard disk use os copy important files system give repair shop
0,"Sorry, I'll call later",22,sorry call later
0,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,119,say leh course nothing happen lar say romantic jus bit lor thk nite scenery nice leh
1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",142,new mobiles must go txt nokia collect today www tc biz optout gbp mtmsg
0,Would really appreciate if you call me. Just need someone to talk to.,69,would really appreciate call need someone talk
1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",137,meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign horo aries
0,Hey company elama po mudyadhu.,30,hey company elama po mudyadhu
0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",165,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
0,Dear good morning now only i am up,34,dear good morning
0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,109,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,Dear we are going to our rubber place,37,dear going rubber place
0,"Sorry battery died, yeah I'm here",33,sorry battery died yeah
0,Yes:)here tv is always available in work place..,48,yes tv always available work place
1,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,157,text meet someone sexy today find date even flirt join reply name age eg sam msg recd thirtyeight pence
0,I have printed it oh. So  &lt;#&gt;  come upstairs,50,printed oh lt gt come upstairs
0,Or ill be a little closer like at the bus stop on the same street,65,ill little closer like bus stop street
0,Where are you?when wil you reach here?,38,wil reach
0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",145,new theory argument wins situation loses person dont argue ur friends kick amp say always correct
1,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,145,secret admirer looking make contact find reveal thinks ur special call
0,Tomarrow final hearing on my laptop case so i cant.,51,tomarrow final hearing laptop case cant
0,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,45,pleassssssseeeeee tel avent done sportsx
0,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",83,okay shining meant signing sounds better
0,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",155,although told dat baig face watches really like watch gave cos fr thanx everything dat done today touched
0,U don't remember that old commercial?,37,remember old commercial
